title:_Mot_2, start timestamp:1626187390.882118, stop timestamp:1626187398.273011, headset type:EPOCFLEX, headset serial:F00001B8, headset firmware:f14, channels:111, sampling rate:128, samples:945       , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.SaturationFlag,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2
1626187390.882118,81.000000,0.000000,14.210785,4.800915,-89.741013,-5.705945,4.408093,10.456902,9.051390,10.739408,10.898450,-2.848088,6.021778,24.295271,21.975733,10.144958,32.044281,21.775364,18.721920,17.580660,18.133638,11.876276,0.032729,12.665093,28.581858,17.917866,-4.556432,0.938470,0.576591,24.191587,7.289764,-13.557946,-32.144447,-150.722321,0.000000,0.000000,196.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.889831,82.000000,0.000000,17.270420,2.746883,-90.675880,-3.138700,6.452916,16.594137,13.653108,18.925592,19.084475,5.863991,13.188064,31.443283,21.441448,18.331736,38.159931,27.388973,17.166275,26.272310,25.287811,14.938246,4.131158,17.263197,33.676353,21.486101,-2.502645,0.425224,2.625245,24.679703,9.844013,-11.495157,-31.087687,-149.034683,0.000000,0.000000,203.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.897645,83.000000,0.000000,13.666996,1.719521,-95.195976,-2.623254,4.397232,12.479081,10.565609,19.418974,16.503851,3.808896,14.199492,26.288763,22.444622,22.411865,45.806385,30.947739,16.124493,31.369114,31.922523,21.071001,8.225489,20.832088,32.105755,25.563076,6.721396,-3.161355,1.085697,26.704254,6.248015,-15.069816,-32.593521,-157.594879,0.000000,0.000000,206.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.905358,84.000000,0.000000,12.116406,-0.843737,-99.711548,-8.256015,4.392835,9.905064,6.456582,15.813401,10.339656,0.218933,10.599137,20.627089,24.983717,21.877146,52.420578,31.941406,11.497599,30.313129,28.816755,24.636084,5.655725,16.200487,25.925957,21.439053,5.177752,-2.645886,-4.038466,24.116011,1.118690,-19.153208,-39.733238,-165.121902,0.000000,0.000000,196.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.913271,85.000000,0.000000,22.862751,8.890952,-87.828758,-1.075451,11.048442,21.165928,16.696280,22.457588,14.940085,8.927945,16.736231,28.291077,29.569502,26.978346,52.880466,33.446388,11.998409,31.819740,26.738708,31.271446,9.748530,21.307364,36.146183,35.249920,6.709497,7.090606,9.797880,30.751896,14.949879,-6.326362,-26.885811,-150.099854,0.000000,0.000000,208.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.921085,86.000000,0.000000,35.647579,28.862062,-68.785545,12.245624,22.308163,32.415531,26.925735,32.681286,24.658991,15.066710,26.453341,37.996632,34.150703,33.099060,50.266048,33.925247,26.843334,35.374073,33.371971,36.363251,23.571089,35.630672,51.479267,54.170055,24.121250,23.989670,30.792698,50.188835,36.451851,14.684580,-5.342002,-125.871292,0.000000,0.000000,210.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.928998,87.000000,0.000000,34.587318,30.370123,-66.155228,11.208763,29.970470,35.969269,24.849579,35.210140,23.609716,12.490104,24.889965,41.544788,35.141167,31.016731,51.752705,32.866707,31.427259,35.338699,38.461674,31.716120,27.645981,39.693501,51.940098,52.066654,31.781744,32.162601,31.786520,58.335571,39.489246,21.329895,-3.799737,-117.548492,0.000000,0.000000,211.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.936812,88.000000,0.000000,26.355808,21.630522,-71.724457,7.611400,26.354345,33.884068,23.800116,32.613392,16.926107,10.428383,21.278921,37.404785,30.495256,24.838022,45.553261,28.735380,19.100449,30.692591,30.738598,26.049019,16.859873,34.018425,48.302002,44.329971,19.966885,22.908901,23.045504,48.031082,30.228218,14.136257,-10.968246,-123.066330,0.000000,0.000000,192.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.944725,89.000000,0.000000,23.767914,20.071968,-74.214264,10.165327,17.618761,27.702494,24.288622,31.556164,16.396873,5.807186,22.282257,30.707378,27.390915,21.739338,32.187706,22.558952,17.544424,24.514206,19.949396,18.338354,8.646090,29.885944,47.741394,42.236412,9.700765,9.053685,16.362457,38.761513,25.074913,4.900583,-15.568047,-129.603271,0.000000,0.000000,198.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626187390.952539,90.000000,0.000000,21.182608,15.441127,-80.800056,7.081316,14.527296,22.551714,20.678181,28.450762,16.380476,1.190609,21.747667,28.627441,27.363523,21.205290,30.618595,18.950239,22.649956,20.391232,19.417139,9.098478,6.588213,25.757597,42.058266,36.046482,5.592602,3.921554,9.173787,37.698135,21.463686,-1.764318,-27.847862,-141.256744,0.000000,0.000000,194.000000,3.000000,59.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
