title:_Mot_3, start timestamp:1626191536.751976, stop timestamp:1626191544.817391, headset type:EPOCFLEX, headset serial:F00001B8, headset firmware:f14, channels:111, sampling rate:128, samples:1039      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.SaturationFlag,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2
1626191536.751976,16.000000,0.000000,42.653145,44.163994,-39.055824,15.198593,35.248772,34.393246,54.885468,46.935268,14.540880,28.603205,56.731331,46.946239,46.981358,35.293053,22.225573,39.627888,52.536194,31.180471,19.003876,-6.397833,3.904014,29.810343,44.404503,39.450951,-12.864793,-3.492495,15.868023,65.259651,61.463909,42.336105,-32.423393,-136.665039,0.000000,0.000000,207.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.759689,17.000000,0.000000,49.782799,48.730598,-30.307539,19.281857,46.484291,39.481930,56.367504,52.011410,16.063263,30.623833,58.211525,48.948524,43.860531,35.770065,21.178732,41.125179,51.971348,29.100061,16.935640,-7.928359,2.875495,29.268225,48.458557,40.948421,-13.364236,-1.952079,28.659847,71.342087,68.574753,49.978386,-25.730968,-118.597610,0.000000,0.000000,198.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.767502,18.000000,0.000000,47.683784,45.095715,-32.326462,19.262575,45.413193,35.343987,50.675751,48.373241,12.461045,16.760902,53.542542,42.239578,36.644363,31.635836,16.034477,35.448669,44.747070,18.312500,17.943321,-5.358891,4.921850,28.214340,48.410099,42.956703,-4.129333,-0.925512,31.705034,68.709206,67.993874,49.416100,-23.143700,-114.380554,0.000000,0.000000,204.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.775215,19.000000,0.000000,36.877640,37.878311,-36.392597,12.583312,32.047779,29.160950,44.989693,43.201794,12.448585,14.694910,48.365925,32.975800,29.947718,25.968815,13.969212,28.240915,34.968475,15.220341,12.802300,-3.304302,5.429236,23.575357,35.553997,38.302979,-3.100588,2.149260,23.476406,61.468189,57.679722,45.268219,-28.243631,-122.975403,0.000000,0.000000,207.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.783028,20.000000,0.000000,28.643839,29.131203,-46.090050,8.984575,23.818808,19.910250,38.797009,37.523205,8.337674,25.950985,44.731403,27.819746,24.282385,24.918230,17.029089,25.651136,26.736586,17.766659,6.641806,-3.300998,1.837653,18.428705,26.809212,30.580059,-13.855949,-5.025197,15.256006,54.234413,46.863583,34.976799,-34.875389,-130.537048,0.000000,0.000000,192.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.790741,21.000000,0.000000,26.565964,23.978994,-55.777805,5.389436,20.208834,15.791878,37.733597,30.825684,1.157029,25.412725,41.612827,26.255003,25.282719,23.356390,17.524366,26.650101,26.197540,14.675046,8.172088,0.800765,1.323507,18.410276,28.831635,28.500250,-21.014400,-13.217094,13.703827,48.544792,41.693642,25.720284,-38.426666,-132.968048,0.000000,0.000000,208.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.798454,22.000000,0.000000,22.953243,22.930401,-55.209721,-2.300568,15.577856,18.849932,38.720478,30.794857,-0.381051,10.530390,42.083523,25.204132,26.282051,22.308418,15.457612,29.697296,29.245190,13.123447,10.213146,3.361503,0.297568,17.367250,28.802803,27.959440,-23.554924,-10.642340,14.202431,46.447018,43.188869,29.793024,-38.388241,-135.908920,0.000000,0.000000,211.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.806267,23.000000,0.000000,17.807215,22.907471,-55.666821,-2.810575,14.537663,13.708005,34.583298,31.276371,-2.942209,4.372167,43.578362,23.129698,23.181923,25.872263,17.491385,29.155291,28.703636,18.233400,11.739856,1.308910,-0.727344,14.276037,27.749384,26.394558,-23.019062,-8.582466,10.602075,48.962109,44.170296,32.837078,-37.325237,-142.433014,0.000000,0.000000,212.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.814080,24.000000,0.000000,14.715561,21.859947,-60.734230,-1.270842,12.986202,6.009682,31.987175,24.585094,-3.963882,8.978564,42.510166,23.618876,27.769510,26.358698,21.572355,30.663059,28.162626,21.289015,18.388117,3.869140,3.371844,16.310993,28.233942,28.417395,-15.311428,-8.573884,11.103780,47.888531,37.466125,25.631933,-38.312527,-148.950577,0.000000,0.000000,186.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626191536.821793,25.000000,0.000000,15.725460,20.301165,-60.673496,-7.417264,9.899370,9.589826,34.004417,24.560509,3.724697,9.481894,40.930733,25.644487,32.352509,23.258493,17.452322,35.243164,32.232925,23.316956,22.468189,4.889886,6.442319,19.368528,25.644171,30.950516,-11.197655,-3.442233,17.240368,44.254490,33.842506,25.093994,-37.761906,-145.215469,0.000000,0.000000,201.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
